~Ascii          DEPT                CHRP                CHRS                DTCO                DTRP                DTSM                DTRS              GR_ARC                ROP5
          2482.00400             0.84525             0.90342           304.77899           304.77899           602.85687           602.85687           118.86047            38.36430
          2482.15640             0.83905             0.89274           306.12790           306.12790           603.22064           603.22064           117.94684            37.00787
          2482.30880             0.81672             0.89538           305.98099           305.98099           603.11261           603.11261           123.99105            35.85232
          2482.46120             0.81332             0.90866           304.69043           304.69043           601.91870           601.91870           128.20401            35.15168
          2482.61360             0.81787             0.91618           304.16302           304.16302           601.10132           601.10132           127.21435            34.70424
          2482.76600             0.80879             0.91409           304.90552           304.90552           601.37402           601.37402           127.11929            32.86292
          2482.91840             0.80290             0.89852           305.76028           305.76028           601.71741           601.71741           126.36369            32.44768
          2483.07080             0.81866             0.89593           306.71887           306.71887           602.15356           602.15356           121.85056            33.05186
          2483.22320             0.83749             0.89879           306.91446           306.91446           603.79242           603.79242           119.41094            33.27637
          2483.37560             0.84183             0.90204           307.85538           307.85538           606.28217           606.28217           119.40823            32.51287
          2483.52800             0.83881             0.90048           307.62207           307.62207           607.79041           607.79041           119.59586            32.87313
          2483.68040             0.82618             0.91383           307.13843           307.13843           607.82513           607.82513           122.11385            33.43546
          2483.83280             0.81381             0.90426           307.05615           307.05615           607.15277           607.15277           121.81454            32.90219
          2483.98520             0.80503             0.88271           309.23685           309.23685           606.24567           606.24567           120.15520            33.38986
          2484.13760             0.78899             0.89063           311.96649           311.96649           606.38904           606.38904           124.54985            30.48277
          2484.29000             0.77256             0.89481           314.09967           314.09967           608.04041           608.04041           127.54903            31.32220
          2484.44240             0.78189             0.90910           314.96661           314.96661           611.75549           611.75549           124.52907            30.15587
          2484.59480             0.81466             0.91441           315.26355           315.26355           614.71478           614.71478           120.76656            30.04666
          2484.74720             0.82536             0.89809           315.31195           315.31195           614.78967           614.78967           118.43920            29.86535
          2484.89960             0.82493             0.90962           313.01013           313.01013           614.03693           614.03693           117.61162            29.45022
          2485.05200             0.82647             0.92556           309.52603           309.52603           614.20410           614.20410           118.49014            29.22814
          2485.20440             0.80755             0.92962           305.11981           305.11981           616.83008           616.83008           119.47765            28.76702
          2485.35680             0.78333             0.92928           305.43381           305.43381           619.42590           619.42590           118.26649            28.62172
          2485.50920             0.79412             0.92830           309.83200           309.83200           621.18195           621.18195           115.42113            28.42585
          2485.66160             0.80897             0.92807           314.82349           314.82349           620.98755           620.98755           116.70634            31.14142
          2485.81400             0.79966             0.93094           317.32550           317.32550           622.27069           622.27069           121.81506            31.70579
          2485.96640             0.80237             0.93375           317.41449           317.41449           625.12982           625.12982           121.95264            33.99617
          2486.11880             0.81003             0.93834           317.86868           317.86868           629.25012           629.25012           120.19474            34.67773
          2486.27120             0.81515             0.93462           319.64148           319.64148           631.23975           631.23975           122.75410            35.37307
          2486.42360             0.81145             0.92961           321.74091           321.74091           630.89130           630.89130           123.96284            37.07300
          2486.57600             0.80428             0.93821           323.53650           323.53650           630.45355           630.45355           121.49667            37.78938
          2486.72840             0.79821             0.94043           321.91367           321.91367           629.97626           629.97626           119.65055            39.76035
          2486.88080             0.78761             0.93898           317.70554           317.70554           629.76117           629.76117           117.60236            41.43965
          2487.03320             0.78605             0.93837           313.50299           313.50299           630.11475           630.11475           114.73187            42.23970
          2487.18560             0.79951             0.93468           312.83765           312.83765           630.82983           630.82983           115.19302            42.65774
          2487.33800             0.81373             0.92870           314.68988           314.68988           631.43066           631.43066           119.91279            42.75962
          2487.49040             0.81429             0.93378           314.41910           314.41910           631.45258           631.45258           126.60629            43.01964
          2487.64280             0.78419             0.94516           310.57541           310.57541           632.94647           632.94647           128.91362            42.80491
